Year,Route,Route_Side,Member_Deaths,Hired_Deaths,Total_Deaths,Highpoint_m,Cause,Details
1988,S Col-SE Ridge,South (Nepal),0,2,2,8849,Unknown,Payot serious brain and circulation problem
1988,SW Face (up); SE Ridge-S Col (down),South (Nepal),4,0,4,8849,Fall,4 climbers disappeared; BC visitor suffered concussion from fall
1988,N Face (Japanese & Hornbein Couloirs),North (China/Tibet),1,0,1,8650,Altitude Sickness,Boyer slight edema
1988,"N Col-NE Ridge (up), SE Ridge-S Col (down)",North (China/Tibet),1,0,1,8849,Unknown,"No accidents, frostbite or serious illness except doctor who died"
1988,Lho La-W Ridge (to 7800m),South (Nepal),0,1,1,8849,Avalanche,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3
1989,S Col-SE Ridge,South (Nepal),0,1,1,7900,Unknown,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection
1989,S Col-SE Ridge,South (Nepal),1,0,1,8849,Unknown,
1989,S Col-SE Ridge,South (Nepal),0,1,1,8849,Disappeared,Phu Dorje disappeared on descent from summit
1989,Khumbutse-W Ridge-N Face (Hornbein Couloir),South (Nepal),5,0,5,8849,Altitude Sickness,5 fatalites on Khumbutse; Lobodzinski altitude sickness; Todd back problem
1990,S Col-SE Ridge,South (Nepal),1,0,1,8849,Altitude Sickness,Ang Kami altitude sickness only
1990,N Col-NE Ridge,North (China/Tibet),1,2,3,6900,Avalanche,Doctor had cerebral edema at BC; 3 killed and 2 hurt in avalanche
1991,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Fall,"No problem at all until fatal fall, until then 'everything went perfectly'"
1991,N Col-NE Ridge (to 8550m),North (China/Tibet),1,0,1,8550,Unknown,One fatality (Lang)
1992,NE Ridge,North (China/Tibet),1,0,1,8360,Fall,Hoshi fatal fall; Ohmiya frostbite; Viktor chest problem (went to Zhangmu and returned)
1992,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,Papta pulmonary edema and 2 fingers bad frostbite; Bisht 3 fingers bad frostbite; Sher Singh died in the icefall
